No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category,Main_Cause
1426,Polonnaruwa,Polonnaruwa,Medirigiriya,2016-03-05,Gunshot,Male,30-35,Subadults and adults,Intentional
1427,Eastern,Ampara,Samanthurai,2016-03-08,Septicemia,Female,35-40,Subadults and adults,Natural
1428,Polonnaruwa,Polonnaruwa,Welikanda,2016-03-09,Poisned,Male,30-35,Subadults and adults,Intentional
1429,Eastern,Batticaloa,Manmunai South-West,2016-03-10,Gunshot,Male,30-35,Subadults and adults,Intentional
1430,Anuradhapura,Anuradhapura,Kebithigollewa,2016-03-13,Unknown,Male,1,Calf,Unknown
1431,Vavuniya,Vavuniya,Vavuniya,2016-03-14,Land mine,Female,8-9,Juvenile,Intentional
1432,Trincomalee,Trincomalee,Gomarankadawala,2016-03-20,Hakkapatas,Male,30,Subadults and adults,Intentional
1433,Uva,Monaragala,Wellawaya,2016-03-22,Body destroyed,Male,45,Subadults and adults,Unknown
1434,Polonnaruwa,Polonnaruwa,Dimbulagala,2016-03-23,Train Accident,Male,25-30,Subadults and adults,Unintentional
1435,Anuradhapura,Anuradhapura,Nochchiyagama,2016-03-24,Unknown,Male,6,Juvenile,Unknown
1436,Trincomalee,Trincomalee,Morawewa,2016-03-25,Hakkapatas,Male,20-25,Subadults and adults,Intentional
1437,Anuradhapura,Anuradhapura,Horowpothana,2016-03-25,Hakkapatas,Female,20-25,Subadults and adults,Intentional
1438,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2016-03-25,Injured,Male,30-35,Subadults and adults,Natural
1439,Anuradhapura,Anuradhapura,Palugaswewa,2016-03-26,Hakkapatas,Male,9-10,Juvenile,Intentional
1440,Polonnaruwa,Polonnaruwa,Welikanda,2016-04-02,Gunshot,Male,20-25,Subadults and adults,Intentional
1441,Polonnaruwa,Matale,Naula,2016-04-03,Injured,Male,35-40,Subadults and adults,Natural
1442,Wayamba,Kurunegala,Polpithigama,2016-04-05,Body destroyed,Male,20-30,Subadults and adults,Unknown
1443,Puttalam,Puttalam,Karuwalagaswewa,2016-04-07,Gunshot,Male,35-40,Subadults and adults,Intentional
1444,Trincomalee,Trincomalee,Kantalai,2016-04-11,Unknown,Unknown,5-6,Juvenile,Unknown
1445,Eastern,Ampara,Mahaoya,2016-04-11,Hakkapatas,Male,5-6,Juvenile,Intentional
1446,Trincomalee,Trincomalee,Kantalai,2016-04-11,Unknown,Unknown,5-6,Juvenile,Unknown
1447,Trincomalee,Trincomalee,Kuchchaveli,2016-04-18,Injured,Female,20,Subadults and adults,Natural
1448,Uva,Badulla,Hildummulla,2016-04-20,Unknown,Male,15-20,Subadults and adults,Unknown
1449,Anuradhapura,Anuradhapura,Nochchiyagama,2016-04-20,Unknown,Male,12,Juvenile,Unknown
1450,Anuradhapura,Anuradhapura,N. Palatha Central,2016-04-21,Injured,Male,10 Months,Infant,Natural
1451,Wayamba,Kurunegala,Ehetuwewa,2016-04-22,Broken the Spinal,Male,03,Calf,Natural
1452,Anuradhapura,Anuradhapura,Kebithigollewa,2016-04-23,Electrocuted,Male,15,Subadults and adults,Unintentional
1453,Anuradhapura,Anuradhapura,Nochchiyagama,2016-04-24,Unknown,Male,20,Subadults and adults,Unknown
1454,Southern,Ratnapura,Balangoda,2016-04-25,Body destroyed,Male,4-5,Juvenile,Unknown
1455,Trincomalee,Trincomalee,Morawewa,2016-04-26,Unknown,Male,8-10,Juvenile,Unknown
1456,Polonnaruwa,Polonnaruwa,Dimbulagala,2016-04-26,Hakkapatas,Female,35-40,Subadults and adults,Intentional
1457,Trincomalee,Trincomalee,Gomarankadawala,2016-04-27,Unknown,Female,25-30,Subadults and adults,Unknown
1458,Anuradhapura,Anuradhapura,Nochchiyagama,2016-04-29,Unknown,Female,16,Subadults and adults,Unknown
1459,Polonnaruwa,Polonnaruwa,Hingurakgoda,2016-04-30,Accident,Female,11 Months,Infant,Unintentional
1460,Anuradhapura,Anuradhapura,Maha Vilachchiya,2016-05-05,Lightning,Female,8 Months,Infant,Natural
1461,Anuradhapura,Anuradhapura,Maha Vilachchiya,2016-05-05,Lightning,Male,2-3,Calf,Natural
1462,Anuradhapura,Anuradhapura,Maha Vilachchiya,2016-05-05,Lightning,Female,8,Juvenile,Natural
1463,Anuradhapura,Anuradhapura,Maha Vilachchiya,2016-05-05,Lightning,Female,25-30,Subadults and adults,Natural
1464,Vavuniya,Mannar,Madhu,2016-05-06,Hakkapatas,Male,05,Juvenile,Intentional
1465,Anuradhapura,Anuradhapura,Palugaswewa,2016-05-08,Unknown,Male,10,Juvenile,Unknown
1466,Anuradhapura,Mannar,Musali,2016-05-09,Unknown,Male,35-40,Subadults and adults,Unknown
1467,Anuradhapura,Anuradhapura,Horowpothana,2016-05-09,Hakkapatas,Male,12-15,Subadults and adults,Intentional
1468,Kilinochchi,Mullaitivu,Oddusuddan,2016-05-10,Unknown,Male,2 Months,Infant,Unknown
1469,Southern,Hambantota,Hambantota,2016-05-10,Other,Male,5 Months,Infant,Other
1470,Polonnaruwa,Polonnaruwa,Hingurakgoda,2016-05-17,Train Accident,Male,Unknown,Unknown,Unintentional
1471,Trincomalee,Trincomalee,Kuchchaveli,2016-05-18,Injured,Female,20,Subadults and adults,Natural
1472,Uva,Monaragala,Thanamalvila,2016-05-19,Unknown,Female,2.5,Calf,Unknown
1473,Eastern,Batticaloa,Koralai Pattu North,2016-05-20,Gunshot,Male,35-40,Subadults and adults,Intentional
1474,Wayamba,Kurunegala,Kotavehera,2016-05-21,Electrocuted,Male,25-30,Subadults and adults,Unintentional
1475,Eastern,Batticaloa,Koralai Pattu North,2016-05-22,Unknown,Male,40-45,Subadults and adults,Unknown
1476,Polonnaruwa,Polonnaruwa,Dimbulagala,2016-05-24,Train Accident,Male,20-25,Subadults and adults,Unintentional
1477,Central,Badulla,Mahiyanganaya,2016-05-25,Body destroyed,Male,30-35,Subadults and adults,Unknown
1478,Southern,Monaragala,Thanamalvila,2016-05-27,Electrocuted,Male,35-40,Subadults and adults,Unintentional
1479,Polonnaruwa,Matale,Dambulla,2016-05-27,Accident,Female,Unknown,Unknown,Unintentional
1480,Wayamba,Kurunegala,Galgamuwa,2016-05-31,Gunshot,Male,30-35,Subadults and adults,Intentional
1481,Trincomalee,Trincomalee,Kuchchaveli,2016-05-31,Electrocuted,Male,20,Subadults and adults,Unintentional
1482,Eastern,Ampara,Pothuvil,2016-06-01,Hakkapatas,Female,08-10,Juvenile,Intentional
1483,Eastern,Ampara,Ampara,2016-06-07,Disease,Male,1 Month,Infant,Natural
1484,Polonnaruwa,Polonnaruwa,Welikanda,2016-06-08,Electrocuted,Male,30-35,Subadults and adults,Unintentional
1485,Polonnaruwa,Polonnaruwa,Dimbulagala,2016-06-12,Hakkapatas,Male,15-20,Subadults and adults,Intentional
1486,Eastern,Ampara,Lahugala,2016-06-12,Unknown,Female,20-22,Subadults and adults,Unknown
1487,Wayamba,Kurunegala,Ambanpola,2016-06-13,Electrocuted,Male,35,Subadults and adults,Unintentional
1488,Eastern,Ampara,Lahugala,2016-06-15,Unknown,Female,20-22,Subadults and adults,Unknown
1489,Wayamba,Kurunegala,Polpithigama,2016-06-17,Electrocuted,Male,15-20,Subadults and adults,Unintentional
1490,Eastern,Ampara,Dehiattakandiya,2016-06-18,Unknown,Male,45-50,Subadults and adults,Unknown
1491,Vavuniya,Kilinochchi,Poonakary,2016-06-19,Gunshot,Male,20,Subadults and adults,Intentional
1492,Anuradhapura,Anuradhapura,N. Palatha Central,2016-06-19,Unknown,Unknown,Unknown,Unknown,Unknown
1493,Trincomalee,Trincomalee,Morawewa,2016-06-21,Hakkapatas,Female,7,Juvenile,Intentional
1494,Polonnaruwa,Polonnaruwa,Hingurakgoda,2016-06-24,Drowned,Male,4 months,Unknown,Natural
1495,Polonnaruwa,Polonnaruwa,Welikanda,2016-06-25,Gunshot,Male,40-45,Subadults and adults,Intentional
1496,Polonnaruwa,Polonnaruwa,Dambulla,2016-06-25,Hakkapatas,Male,Unknown,Unknown,Intentional
1497,Anuradhapura,Mannar,N. Palatha Central,2016-06-26,Gunshot,Male,30-35,Subadults and adults,Intentional
1498,Polonnaruwa,Polonnaruwa,Dimbulagala,2016-06-29,Unknown,Male,40-45,Subadults and adults,Unknown
1499,Trincomalee,Trincomalee,Morawewa,2016-06-29,Gunshot,Female,30,Subadults and adults,Intentional
1500,Anuradhapura,Anuradhapura,Horowpothana,2016-07-03,Hakkapatas,Female,18,Subadults and adults,Intentional
1501,Polonnaruwa,Polonnaruwa,Medirigiriya,2016-07-06,Other,Male,6 Months,Infant,Other
1502,Eastern,Batticaloa,Eravur Pattu,2016-07-06,Gunshot,Male,25-30,Subadults and adults,Intentional
1503,Anuradhapura,Anuradhapura,Kahatagasdigiliya,2016-07-07,Fallen into well,Male,15-18,Subadults and adults,Natural
1504,Polonnaruwa,Polonnaruwa,Welikanda,2016-07-08,Train Accident,Male,45,Subadults and adults,Unintentional
1505,Wayamba,Kurunegala,Galgamuwa,2016-07-09,Gunshot,Female,20-25,Subadults and adults,Intentional
1506,Polonnaruwa,Polonnaruwa,Hingurakgoda,2016-07-09,Train Accident,Male,5-6,Juvenile,Unintentional
1507,Eastern,Ampara,Thirukkovil,2016-07-12,Hakkapatas,Male,20,Subadults and adults,Intentional
1508,Anuradhapura,Anuradhapura,Thalawa,2016-07-12,Electrocuted,Male,40-45,Subadults and adults,Unintentional
1509,Polonnaruwa,Polonnaruwa,Medirigiriya,2016-07-13,Gunshot,Female,25-30,Subadults and adults,Intentional
1510,Anuradhapura,Anuradhapura,Horowpothana,2016-07-15,Hakkapatas,Male,12,Juvenile,Intentional
1511,Anuradhapura,Anuradhapura,Medawachchiya,2016-07-15,Unknown,Unknown,Unknown,Unknown,Unknown
1512,Puttalam,Puttalam,Vanathavilluwa,2016-07-15,Gunshot,Male,30,Subadults and adults,Intentional
1513,Trincomalee,Trincomalee,Kantalai,2016-07-16,Hakkapatas,Male,05,Juvenile,Intentional
1514,Puttalam,Puttalam,Karuwalagaswewa,2016-07-18,Attack by an elephant,Male,35,Subadults and adults,Natural
1515,Uva,Ampara,Damana,2016-07-20,Body destroyed,Female,6.5 months,Unknown,Unknown
1516,Eastern,Ampara,Mahaoya,2016-07-20,Disease,Female,45,Subadults and adults,Natural
1517,Eastern,Ampara,Pothuvil,2016-07-20,Injured,Female,20,Subadults and adults,Natural
1518,Eastern,Ampara,Mahaoya,2016-07-21,Gunshot,Male,25,Subadults and adults,Intentional
1519,Eastern,Ampara,Mahaoya,2016-07-22,Septicemia,Male,35,Subadults and adults,Natural
1520,Eastern,Ampara,Mahaoya,2016-07-23,Body destroyed,Unknown,Unknown,Unknown,Unknown
1521,Eastern,Ampara,Damana,2016-07-25,Gunshot,Male,45,Subadults and adults,Intentional
1522,Uva,Monaragala,Wellawaya,2016-07-26,Fallen into well,Unknown,6 Months,Infant,Natural
1523,Eastern,Ampara,Uhana,2016-07-28,Injured,Male,25-30,Subadults and adults,Natural
1524,Trincomalee,Trincomalee,Morawewa,2016-07-30,Injured,Female,25,Subadults and adults,Natural
1525,Polonnaruwa,Polonnaruwa,Hingurakgoda,2016-07-31,Train Accident,Female,25-30,Subadults and adults,Unintentional
1526,Vavuniya,Anuradhapura,Padaviya,2016-07-31,Hakkapatas,Male,15,Subadults and adults,Intentional
1527,Polonnaruwa,Polonnaruwa,Thamankaduwa,2016-08-01,Hakkapatas,Male,8-10,Juvenile,Intentional
1528,Uva,Hambantota,Thissamaharama,2016-08-03,Unknown,Male,35-40,Subadults and adults,Unknown
1529,Uva,Monaragala,Madulla,2016-08-03,Injured,Female,30,Subadults and adults,Natural
1530,Southern,Monaragala,Thanamalvila,2016-08-08,Hakkapatas,Male,12,Juvenile,Intentional
1531,Anuradhapura,Anuradhapura,Medawachchiya,2016-08-10,Train Accident,Female,25,Subadults and adults,Unintentional
1532,Trincomalee,Trincomalee,Gomarankadawala,2016-08-11,Drowned,Female,2 Months,Infant,Natural
1533,Polonnaruwa,Polonnaruwa,Welikanda,2016-08-14,Gunshot,Male,35,Subadults and adults,Intentional
1534,Vavuniya,Vavuniya,Vengalacheddiculam,2016-08-14,Drowned,Unknown,4,Calf,Natural
1535,Anuradhapura,Anuradhapura,Horowpothana,2016-08-16,Train Accident,Male,3-4,Calf,Unintentional
1536,Vavuniya,Vavuniya,Vengalacheddiculam,2016-08-17,Train Accident,Male,6-7,Juvenile,Unintentional
1537,Vavuniya,Vavuniya,Vengalacheddiculam,2016-08-17,Train Accident,Female,25-30,Subadults and adults,Unintentional
1538,Vavuniya,Vavuniya,Vengalacheddiculam,2016-08-17,Train Accident,Male,15,Subadults and adults,Unintentional
1539,Vavuniya,Vavuniya,Vengalacheddiculam,2016-08-17,Train Accident,Female,3-4,Calf,Unintentional
1540,Eastern,Ampara,Dehiattakandiya,2016-08-18,Gunshot,Female,15-20,Subadults and adults,Intentional
1541,Trincomalee,Trincomalee,Thampalakamam,2016-08-18,Unknown,Female,4,Calf,Unknown
1542,Polonnaruwa,Polonnaruwa,Welikanda,2016-08-18,Gunshot,Male,12,Juvenile,Intentional
1543,Wayamba,Kurunegala,Ambanpola,2016-08-19,Gunshot,Female,15-18,Subadults and adults,Intentional
1544,Trincomalee,Trincomalee,Morawewa,2016-08-22,Unknown,Male,25,Subadults and adults,Unknown
1545,Trincomalee,Trincomalee,Thampalakamam,2016-08-22,Unknown,Female,4,Calf,Unknown
1546,Polonnaruwa,Polonnaruwa,Medirigiriya,2016-08-22,Hakkapatas,Male,4-6,Juvenile,Intentional
1547,Southern,Monaragala,Sevanagala,2016-08-23,Natural,Female,55-60,Subadults and adults,Natural
1548,Trincomalee,Trincomalee,Morawewa,2016-08-24,Unknown,Unknown,5 Months,Infant,Unknown
1549,Eastern,Monaragala,Siyambalanduwa,2016-08-26,Hakkapatas,Female,30,Subadults and adults,Intentional
1550,Southern,Ratnapura,Embilipitiya,2016-08-28,Unknown,Male,5,Juvenile,Unknown
1551,Eastern,Ampara,Lahugala,2016-08-28,Unknown,Female,1.5-2,Calf,Unknown
1552,Polonnaruwa,Matale,Dambulla,2016-08-30,Electrocuted,Male,30,Subadults and adults,Unintentional
1553,Polonnaruwa,Matale,Wilgamuwa,2016-08-30,Unknown,Unknown,5,Juvenile,Unknown
1554,Eastern,Batticaloa,Koralai Pattu North,2016-08-30,Electrocuted,Male,22,Subadults and adults,Unintentional
1555,Wayamba,Kurunegala,Galgamuwa,2016-08-31,Poisned,Male,50,Subadults and adults,Intentional
1556,Uva,Hambantota,Thissamaharama,2016-08-31,Natural,Unknown,15,Subadults and adults,Natural
1557,Polonnaruwa,Polonnaruwa,Welikanda,2016-09-01,Hakkapatas,Male,6-10,Juvenile,Intentional
1558,Eastern,Ampara,Samanthurai,2016-09-02,Septicemia,Female,2-3,Calf,Natural
1559,Southern,Monaragala,Thanamalvila,2016-09-06,Hakkapatas,Male,15-20,Subadults and adults,Intentional
1560,Eastern,Ampara,Lahugala,2016-09-06,Disease,Male,5,Juvenile,Natural
1561,Southern,Monaragala,Sevanagala,2016-09-08,Disease,Male,1.5,Calf,Natural
1562,Uva,Monaragala,Bibile,2016-09-08,Unknown,Male,30,Subadults and adults,Unknown
1563,Polonnaruwa,Polonnaruwa,Medirigiriya,2016-09-08,Hakkapatas,Male,10-15,Unknown,Intentional
1564,Polonnaruwa,Matale,Dambulla,2016-09-08,Unknown,Male,Unknown,Unknown,Unknown
1565,Polonnaruwa,Matale,Naula,2016-09-08,Fallen into well,Male,Unknown,Unknown,Natural
1566,Anuradhapura,Anuradhapura,Kebithigollewa,2016-09-09,Hakkapatas,Female,9,Juvenile,Intentional
1567,Southern,Monaragala,Thanamalvila,2016-09-10,Gunshot,Male,35,Subadults and adults,Intentional
1568,Uva,Monaragala,Bibile,2016-09-12,Disease,Male,2 Months,Infant,Natural
1569,Eastern,Ampara,Lahugala,2016-09-15,Disease,Male,3,Calf,Natural
1570,Trincomalee,Trincomalee,Morawewa,2016-09-18,Hakkapatas,Female,7,Juvenile,Intentional
1571,Polonnaruwa,Polonnaruwa,Welikanda,2016-09-18,Injured,Male,30-35,Subadults and adults,Natural
1572,Polonnaruwa,Polonnaruwa,Thamankaduwa,2016-09-20,Unknown,Female,12-15,Subadults and adults,Unknown
1573,Polonnaruwa,Polonnaruwa,Medirigiriya,2016-09-22,Disease,Female,35-40,Subadults and adults,Natural
1574,Central,Kandy,Udadumbara,2016-09-22,Electrocuted,Male,15-20,Subadults and adults,Unintentional
1575,Anuradhapura,Anuradhapura,Horowpothana,2016-09-22,Hakkapatas,Male,12,Juvenile,Intentional
1576,Kilinochchi,Mullaitivu,Padaviya,2016-09-24,Unknown,Female,30,Subadults and adults,Unknown
1577,Anuradhapura,Anuradhapura,Nochchiyagama,2016-09-24,Gunshot,Male,25,Subadults and adults,Intentional
1578,Polonnaruwa,Polonnaruwa,Medirigiriya,2016-09-28,Hakkapatas,Male,25-30,Subadults and adults,Intentional
1579,Polonnaruwa,Polonnaruwa,Welikanda,2016-09-29,Other,Male,35-40,Subadults and adults,Other
1580,Vavuniya,Mannar,Madhu,2016-09-29,Disease,Male,4,Calf,Natural
1581,Eastern,Ampara,Mahaoya,2016-09-29,Unknown,Female,5-6,Juvenile,Unknown
1582,Uva,Monaragala,Katharagama,2016-09-30,Unknown,Male,25,Subadults and adults,Unknown
1583,Southern,Monaragala,Sevanagala,2016-10-02,Disease,Female,5,Juvenile,Natural
1584,Southern,Monaragala,Thanamalvila,2016-10-02,Other,Female,3,Calf,Other
1585,Southern,Monaragala,Thanamalvila,2016-10-02,Hakkapatas,Male,20-25,Subadults and adults,Intentional
1586,Puttalam,Puttalam,Karuwalagaswewa,2016-10-03,Disease,Male,3-4,Calf,Natural
1587,Trincomalee,Trincomalee,Morawewa,2016-10-06,Hakkapatas,Male,6,Juvenile,Intentional
1588,Anuradhapura,Anuradhapura,Thalawa,2016-10-08,Unknown,Male,10,Juvenile,Unknown
1589,Anuradhapura,Anuradhapura,Horowpothana,2016-10-08,Natural,Male,25,Subadults and adults,Natural
1590,Uva,Ampara,Madulla,2016-10-09,Gunshot,Male,15-18,Subadults and adults,Intentional
1591,Vavuniya,Mannar,Manthai West,2016-10-10,Body destroyed,Male,9,Juvenile,Unknown
1592,Polonnaruwa,Polonnaruwa,Thamankaduwa,2016-10-10,Eaten polythene,Male,25-30,Subadults and adults,Unintentional
1593,Trincomalee,Trincomalee,Kuchchaveli,2016-10-13,Unknown,Male,28-30,Subadults and adults,Unknown
1594,Polonnaruwa,Matale,Wilgamuwa,2016-10-13,Injured,Unknown,Unknown,Unknown,Natural
1595,Wayamba,Kurunegala,Polpithigama,2016-10-16,Fallen into well,Male,30-35,Subadults and adults,Natural
1596,Trincomalee,Trincomalee,Kuchchaveli,2016-10-17,Unknown,Male,28-30,Subadults and adults,Unknown
1597,Wayamba,Kurunegala,Galgamuwa,2016-10-19,Poisned,Female,12-15,Subadults and adults,Intentional
1598,Puttalam,Puttalam,Karuwalagaswewa,2016-10-22,Natural,Female,60,Subadults and adults,Natural
1599,Eastern,Ampara,Ninthavur,2016-10-24,Eaten polythene,Male,20-25,Subadults and adults,Unintentional
1600,Anuradhapura,Anuradhapura,Thalawa,2016-10-24,Unknown,Male,35,Subadults and adults,Unknown
1601,Southern,Monaragala,Thanamalvila,2016-10-25,Unknown,Female,3.5,Calf,Unknown
1602,Polonnaruwa,Polonnaruwa,Dimbulagala,2016-10-25,Unknown,Male,25-30,Subadults and adults,Unknown
1603,Southern,Monaragala,Thanamalvila,2016-10-29,Unknown,Female,10,Juvenile,Unknown
1604,Eastern,Ampara,Lahugala,2016-10-30,Unknown,Unknown,20-25,Subadults and adults,Unknown
1605,Anuradhapura,Anuradhapura,Kebithigollewa,2016-10-31,Unknown,Male,12,Juvenile,Unknown
1606,Southern,Monaragala,Sevanagala,2016-10-31,Disease,Female,25-30,Subadults and adults,Natural
1607,Trincomalee,Trincomalee,Gomarankadawala,2016-11-01,Unknown,Male,6,Juvenile,Unknown
1608,Southern,Ratnapura,Embilipitiya,2016-11-01,Disease,Female,35-40,Subadults and adults,Natural
1609,Polonnaruwa,Polonnaruwa,Welikanda,2016-11-08,Disease,Male,03,Calf,Natural
1610,Polonnaruwa,Matale,Welikanda,2016-11-11,Unknown,Female,05,Juvenile,Unknown
1611,Vavuniya,Mannar,Madhu,2016-11-13,Gunshot,Female,25,Subadults and adults,Intentional
1612,Trincomalee,Trincomalee,Gomarankadawala,2016-11-14,Unknown,Female,21,Subadults and adults,Unknown
1613,Southern,Monaragala,Thanamalvila,2016-11-18,Unknown,Male,35-40,Subadults and adults,Unknown
1614,Polonnaruwa,Matale,Dambulla,2016-11-19,Poisned,Male,25-30,Subadults and adults,Intentional
1615,Eastern,Ampara,Uhana,2016-11-20,Hakkapatas,Male,10-12,Juvenile,Intentional
1616,Polonnaruwa,Polonnaruwa,Lankapura,2016-11-20,Other,Male,1,Calf,Other
1617,Vavuniya,Mannar,Nanaddan,2016-11-21,Disease,Male,1,Calf,Natural
1618,Southern,Hambantota,Hambantota,2016-11-22,Gunshot,Male,7,Juvenile,Intentional
1619,Eastern,Ampara,Uhana,2016-11-23,Poisned,Male,1 Month,Infant,Intentional
1620,Puttalam,Puttalam,Karuwalagaswewa,2016-11-24,Electrocuted,Female,30-35,Subadults and adults,Unintentional
1621,Southern,Monaragala,Sevanagala,2016-11-25,Disease,Male,20-25,Subadults and adults,Natural
1622,Anuradhapura,Anuradhapura,Maha Vilachchiya,2016-11-27,Poisned,Female,18-20,Subadults and adults,Intentional
1623,Eastern,Ampara,Mahaoya,2016-11-28,Hakkapatas,Female,35,Subadults and adults,Intentional
1624,Polonnaruwa,Polonnaruwa,Thamankaduwa,2016-12-07,Unknown,Male,25-30,Subadults and adults,Unknown
1625,Southern,Ratnapura,Balangoda,2016-12-12,Unknown,Female,20,Subadults and adults,Unknown
1626,Southern,Monaragala,Thanamalvila,2016-12-13,Gunshot,Male,9,Juvenile,Intentional
1627,Southern,Hambantota,Sooriyawewa,2016-12-15,Unknown,Unknown,8 Months,Infant,Unknown
1628,Puttalam,Puttalam,Karuwalagaswewa,2016-12-19,Disease,Female,50-55,Subadults and adults,Natural
1629,Polonnaruwa,Polonnaruwa,Elahera,2016-12-21,Electrocuted,Male,25-30,Subadults and adults,Unintentional
1630,Anuradhapura,Anuradhapura,Kebithigollewa,2016-12-24,Electrocuted,Male,03,Calf,Unintentional
1631,Anuradhapura,Anuradhapura,Kebithigollewa,2016-12-24,Electrocuted,Female,25,Subadults and adults,Unintentional
1632,Anuradhapura,Anuradhapura,Kebithigollewa,2016-12-24,Electrocuted,Female,18,Subadults and adults,Unintentional
1633,Anuradhapura,Anuradhapura,Kebithigollewa,2016-12-24,Electrocuted,Female,15,Subadults and adults,Unintentional
1634,Wayamba,Anuradhapura,Palagala,2016-12-25,Electrocuted,Male,30-35,Subadults and adults,Unintentional
1635,Puttalam,Puttalam,Karuwalagaswewa,2016-12-25,Fallen into well,Male,8.5 Months,Infant,Natural
1636,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2016-12-29,Gunshot,Male,35-40,Subadults and adults,Intentional
1637,Anuradhapura,Anuradhapura,Horowpothana,2016-12-30,Hakkapatas,Female,15-18,Subadults and adults,Intentional
1638,Wayamba,Anuradhapura,Palagala,2016-12-31,Gunshot,Male,40,Subadults and adults,Intentional
1639,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-01-01,Gunshot,Male,35-40,Subadults and adults,Intentional
1640,Uva,Monaragala,Katharagama,2017-01-01,Unknown,Male,30-35,Subadults and adults,Unknown
1641,Uva,Monaragala,Madulla,2017-01-01,Unknown,Unknown,Unknown,Unknown,Unknown
1642,Uva,Monaragala,Madulla,2017-01-01,Unknown,Unknown,7 Months,Infant,Unknown
1643,Uva,Ampara,Damana,2017-01-01,Unknown,Unknown,7 Months,Infant,Unknown
1644,Eastern,Batticaloa,Addalachchenai,2017-01-04,Eaten polythene,Male,30-35,Subadults and adults,Unintentional
1645,Polonnaruwa,Polonnaruwa,Welikanda,2017-01-05,Unknown,Male,8-10,Juvenile,Unknown
1646,Uva,Monaragala,Bibile,2017-01-09,Gunshot,Male,21,Subadults and adults,Intentional
1647,Eastern,Ampara,Thirukkovil,2017-01-10,Hakkapatas,Female,5-6,Juvenile,Intentional
1648,Eastern,Ampara,Thirukkovil,2017-01-11,Body destroyed,Female,20-25,Subadults and adults,Unknown
1649,Eastern,Batticaloa,Koralai Pattu North,2017-01-12,Gunshot,Female,22-25,Subadults and adults,Intentional
1650,Anuradhapura,Anuradhapura,Horowpothana,2017-01-15,Hakkapatas,Male,8-10,Juvenile,Intentional
1651,Polonnaruwa,Anuradhapura,Palugaswewa,2017-01-22,Gunshot,Female,4,Calf,Intentional
1652,Eastern,Ampara,Mahaoya,2017-01-28,Gunshot,Female,35,Subadults and adults,Intentional
1653,Anuradhapura,Anuradhapura,Nochchiyagama,2017-01-29,Gunshot,Female,15-18,Subadults and adults,Intentional
1654,Wayamba,Kurunegala,Polpithigama,2017-01-30,Electrocuted,Male,30-35,Subadults and adults,Unintentional
1655,Eastern,Ampara,Pothuvil,2017-01-30,Other,Male,10-12,Juvenile,Other
1656,Elephant Transit Home,Ratnapura,Ratnapura,2017-01-31,Natural,Female,Unknown,Unknown,Natural
1657,Eastern,Ampara,Alayadiwembu,2017-01-31,Hakkapatas,Male,10-12,Juvenile,Intentional
1658,Elephant Transit Home,Ratnapura,Ratnapura,2017-01-31,Natural,Male,Unknown,Unknown,Natural
1659,Eastern,Ampara,Mahaoya,2017-02-01,Gunshot,Male,25,Subadults and adults,Intentional
1660,Eastern,Batticaloa,Manmunai South-West,2017-02-01,Electrocuted,Male,30-35,Subadults and adults,Unintentional
1661,Eastern,Polonnaruwa,Dimbulagala,2017-02-01,Falling of a mountain,Male,20,Subadults and adults,Natural
1662,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-02-02,Gunshot,Male,30-35,Subadults and adults,Intentional
1663,Anuradhapura,Anuradhapura,Medawachchiya,2017-02-05,Poisned,Female,35-40,Subadults and adults,Intentional
1664,Uva,Hambantota,Thissamaharama,2017-02-06,Unknown,Male,25-35,Subadults and adults,Unknown
1665,Anuradhapura,Anuradhapura,Kahatagasdigiliya,2017-02-07,Electrocuted,Male,18-20,Subadults and adults,Unintentional
1666,Vavuniya,Vavuniya,Vavuniya North,2017-02-10,Gunshot,Male,30-35,Subadults and adults,Intentional
1667,Vavuniya,Mannar,Manthai West,2017-02-11,Gunshot,Male,7-8,Juvenile,Intentional
1668,Eastern,Ampara,Thirukkovil,2017-02-11,Hakkapatas,Male,5-6,Juvenile,Intentional
1669,Uva,Hambantota,Thissamaharama,2017-02-12,Unknown,Male,25-35,Subadults and adults,Unknown
1670,Puttalam,Puttalam,Vanathavilluwa,2017-02-12,Train Accident,Male,35,Subadults and adults,Unintentional
1671,Polonnaruwa,Polonnaruwa,Dimbulagala,2017-02-14,Hakkapatas,Male,25,Subadults and adults,Intentional
1672,Uva,Monaragala,Wellawaya,2017-02-17,Injured,Female,25,Subadults and adults,Natural
1673,Southern,Hambantota,Hambantota,2017-02-19,Unknown,Unknown,16-18,Subadults and adults,Unknown
1674,Anuradhapura,Anuradhapura,Kebithigollewa,2017-02-19,Electrocuted,Male,16-18,Subadults and adults,Unintentional
1675,Trincomalee,Trincomalee,Gomarankadawala,2017-02-20,Hakkapatas,Female,10-15,Unknown,Intentional
1676,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2017-02-20,Hakkapatas,Male,10-12,Juvenile,Intentional
1677,Anuradhapura,Anuradhapura,Palugaswewa,2017-02-22,Electrocuted,Male,29-30,Subadults and adults,Unintentional
